ExecutionTime
4/4/2023 10:06:22 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201606,"23,00","149,00","15,44"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201612,"22,00","131,00","16,79"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201706,"19,00","108,00","17,59"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201712,"31,00","152,00","20,39"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201806,"29,00","244,00","11,89"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201812,"33,00","267,00","12,36"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201906,"27,00","209,00","12,92"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,201912,"22,00","261,00","8,43"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202006,"18,00","190,00","9,47"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202012,"30,00","267,00","11,24"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202106,"28,00","281,00","9,96"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202112,"39,00","361,00","10,80"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202206,"36,00","285,00","12,63"
Proporción de partos por cesárea,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,202212,"32,00","267,00","11,99"

