ExecutionTime
4/7/2023 6:33:41 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20170630,"389,00","181,00","2,15"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20171231,"1.135,00","289,00","3,93"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20180630,"399,00","217,00","1,84"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20181231,"648,00","269,00","2,41"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20190630,"823,00","184,00","4,47"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20191231,"741,00","203,00","3,65"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20200331,"237,00","99,00","2,39"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20200630,"4,00","7,00","0,57"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20200930,"84,00","58,00","1,45"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20201231,"1.108,00","312,00","3,55"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20210331,"348,00","176,00","1,98"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20210630,"539,00","168,00","3,21"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20210930,"1.480,00","383,00","3,86"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20211231,"1.019,00","319,00","3,19"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20220331,"943,00","331,00","2,85"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20220630,"1.307,00","331,00","3,95"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20220930,"1.399,00","338,00","4,14"
Tiempo promedio de espera para la toma de Ecografía,97,97 - Vaupés,00000,TOTAL,Total,1,Días,20221231,"3.916,00","347,00","11,29"

