ExecutionTime
4/7/2023 6:34:07 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20170630,"1.548,00","1.571,00","98,54"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20171231,"138,00","138,00","100,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20180630,"1.665,00","1.701,00","97,88"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20181231,"1.602,00","1.606,00","99,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20190630,"740,00","760,00","97,37"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20191231,"1.956,00","1.965,00","99,54"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20200331,"778,00","804,00","96,77"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20200630,"610,00","620,00","98,39"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20200930,"415,00","433,00","95,84"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20201231,"674,00","690,00","97,68"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20210331,"596,00","598,00","99,67"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20210630,"530,00","545,00","97,25"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20210930,"1.082,00","1.114,00","97,13"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20211231,"1.060,00","1.064,00","99,62"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20220331,"818,00","821,00","99,63"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20220630,"1.241,00","1.246,00","99,60"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20220930,"1.163,00","1.164,00","99,91"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,97,97 - Vaupés,00000,TOTAL,Total,100,Porcentaje,20221231,"1.276,00","1.291,00","98,84"

