ExecutionTime
4/7/2023 11:13:19 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201706,"0,00","2.351,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201712,"0,00","2.176,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201806,"0,00","1.878,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201812,"0,00","1.968,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201906,"0,00","2.321,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,201912,"1,00","6.486,00","0,15"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202003,"0,00","3.179,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202006,"0,00","1.684,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202009,"0,00","1.488,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202012,"0,00","2.006,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202103,"0,00","29,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202106,"0,00","980,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202109,"0,00","2.649,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202112,"0,00","1.341,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202203,"0,00","72,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202206,"0,00","4.464,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202209,"0,00","5.315,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,97,Vaupés,00000,TOTAL,Total,N/A,1000,Tasa,202212,"0,00","9.090,00","0,00"

