ExecutionTime
4/5/2023 9:31:55 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201606,"6,00","289,00","20,76"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201612,"4,00","309,00","12,94"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201706,"3,00","295,00","10,17"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201712,"4,00","302,00","13,25"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201806,"11,00","466,00","23,61"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201812,"12,00","480,00","25,00"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201906,"14,00","614,00","22,80"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,201912,"13,00","571,00","22,77"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202006,"15,00","557,00","26,93"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202012,"14,00","590,00","23,73"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202106,"12,00","691,00","17,37"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202112,"22,00","726,00","30,30"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202206,"13,00","747,00","17,40"
Tasa de mortalidad perinatal,99,99 - Vichada,00000,TOTAL,Total,1000,Por 1.000 nacimientos,202212,"12,00","703,00","17,07"

