ExecutionTime
4/7/2023 6:41:09 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20170630,"421,00","434,00","97,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20171231,"468,00","541,00","86,51"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20180630,"324,00","378,00","85,71"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20181231,"847,00","900,00","94,11"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20190630,"2.146,00","2.248,00","95,46"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20191231,"437,00","441,00","99,09"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20200630,"462,00","496,00","93,15"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20200930,"6,00","6,00","100,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20201231,"800,00","958,00","83,51"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20210331,"103,00","103,00","100,00"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20210630,"1.102,00","1.163,00","94,75"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20210930,"635,00","675,00","94,07"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20211231,"811,00","820,00","98,90"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20220331,"1.788,00","1.817,00","98,40"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20220630,"1.933,00","1.963,00","98,47"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20220930,"2.080,00","2.095,00","99,28"
Proporción de usuarios que recomendaría su IPS a familiares y amigos,99,99 - Vichada,00000,TOTAL,Total,100,Porcentaje,20221231,"2.152,00","2.224,00","96,76"

