ExecutionTime
4/7/2023 6:40:16 AM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20190630,"57,00","217,00","0,26"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20200630,"6.660,00","940,00","7,09"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20201231,"7.508,00","906,00","8,29"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20210630,"11.439,00","1.010,00","11,33"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20210930,"4.847,00","533,00","9,09"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20211231,"8.652,00","778,00","11,12"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20220331,"3.708,00","480,00","7,73"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20220630,"1.133,00","161,00","7,04"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20220930,"2.636,00","579,00","4,55"
Tiempo promedio de espera para la asignación de cita de  Ginecología,99,99 - Vichada,00000,TOTAL,Total,1,Días,20221231,"1.960,00","530,00","3,70"

