ExecutionTime
4/7/2023 11:16:36 PM

Indicador,CodDepto,Departamento,CodMunicipio,Municipio,IPS,UCI,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201706,"0,00","6.116,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201712,"0,00","8.626,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201806,"0,00","6.233,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201812,"0,00","8.227,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201906,"0,00","9.041,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,201912,"0,00","13.942,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202003,"0,00","6.672,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202006,"0,00","7.646,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202009,"0,00","3.439,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202012,"0,00","6.458,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202103,"0,00","831,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202106,"0,00","4.590,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202109,"0,00","6.496,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202112,"0,00","3.049,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202203,"0,00","212,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202206,"0,00","7.800,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202209,"0,00","6.930,00","0,00"
Tasa de caída de pacientes en el servicio de Apoyo Diagnóstico y Complementación Terapéutica.,99,Vichada,00000,TOTAL,Total,N/A,1000,Tasa,202212,"0,00","7.542,00","0,00"

