Indicador,CodDepto,Departamento,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2017-06,17651.00,7836.00,2.25
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2017-12,16479.00,5765.00,2.86
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2018-06,24869.00,9474.00,2.62
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2018-12,11237.00,4035.00,2.78
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2019-06,17928.00,8124.00,2.21
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2019-12,912.00,3306.00,0.28
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2020-03,371.00,271.00,1.37
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2020-06,806.00,4111.00,0.20
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2020-09,872.00,1134.00,0.77
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2020-12,1040.00,1140.00,0.91
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2021-03,1844.00,2178.00,0.85
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2021-06,186.00,106.00,1.75
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2021-09,625.00,499.00,1.25
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2021-12,893.00,2189.00,0.41
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2022-03,1398.00,3448.00,0.41
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2022-06,20966.00,6206.00,3.38
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2022-09,15868.00,3238.00,4.90
Tiempo promedio de espera para la asignación de cita de  Medicina General,91,Amazonas,1,Días,2022-12,8906.00,2709.00,3.29
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2017-06,136.00,9.00,15.11
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2017-12,28092.00,331.00,84.87
