Indicador,CodDepto,Departamento,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox2
"Proporción de niños y niñas menores de 18 meses, hijos de madre viviendo con Virus de la inmunodeficiencia Humana (VIH), con diagnóstico de Virus de la inmunodeficiencia Humana (VIH)",91,Amazonas,100,Porcentaje,2018-12,0.00,1.00,0.00
"Proporción de niños y niñas menores de 18 meses, hijos de madre viviendo con Virus de la inmunodeficiencia Humana (VIH), con diagnóstico de Virus de la inmunodeficiencia Humana (VIH)",91,Amazonas,100,Porcentaje,2019-12,0.00,1.00,0.00
"Proporción de niños y niñas menores de 18 meses, hijos de madre viviendo con Virus de la inmunodeficiencia Humana (VIH), con diagnóstico de Virus de la inmunodeficiencia Humana (VIH)",91,Amazonas,100,Porcentaje,2020-12,0.00,2.00,0.00
Proporción de mujeres a las que se les realizó toma de serología en el momento del parto o aborto,91,Amazonas,100,Porcentaje,2015-12,0.00,1.00,0.00
Proporción de mujeres a las que se les realizó toma de serología en el momento del parto o aborto,91,Amazonas,100,Porcentaje,2016-12,33.00,38.00,86.84
Proporción de mujeres a las que se les realizó toma de serología en el momento del parto o aborto,91,Amazonas,100,Porcentaje,2017-12,0.00,92.00,0.00
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2015-12,64.00,1100.00,5.82
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2016-12,12.00,591.00,2.03
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2017-12,38.00,633.00,6.00
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2018-12,45.00,312.00,14.42
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2019-12,186.00,472.00,39.41
Proporción de personas con Hipertensión Arterial a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2020-12,238.00,895.00,26.59
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2015-12,7.00,291.00,2.41
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2016-12,2.00,209.00,0.96
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2017-12,22.00,224.00,9.82
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2018-12,12.00,120.00,10.00
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2019-12,53.00,152.00,34.87
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2020-12,111.00,316.00,35.13
Proporción de personas con Diabetes a quienes se les realizó toma de hemoglobina glicosilada en el último semestre,91,Amazonas,100,Porcentaje,2021-12,3.00,158.00,1.90
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2015-12,24.00,291.00,8.25
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2016-12,8.00,209.00,3.83
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2017-12,21.00,224.00,9.38
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2018-12,20.00,120.00,16.67
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2019-12,80.00,152.00,52.63
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2020-12,103.00,316.00,32.59
Proporción de personas con Diabetes Mellitus a quienes se les realiza medición de LDL,91,Amazonas,100,Porcentaje,2021-12,13.00,158.00,8.23
