Indicador,CodDepto,Departamento,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox6
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2017-06,1.00,298.00,3.36
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2017-12,0.00,1051.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2018-06,0.00,2063.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2018-12,0.00,3545.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2019-06,2.00,4303.00,0.46
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2019-12,6.00,6208.00,0.97
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2020-03,0.00,2464.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2020-06,0.00,9842.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2020-09,0.00,1985.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2020-12,1.00,3115.00,0.32
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2021-03,7.00,265.00,26.42
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2021-06,0.00,2002.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2021-09,1.00,2526.00,0.40
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2021-12,2.00,2544.00,0.79
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2022-03,2.00,1116.00,1.79
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2022-06,0.00,3984.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2022-09,0.00,4171.00,0.00
Tasa de caída de pacientes en el servicio de hospitalización,91,Amazonas,1000,Tasa,2022-12,1.00,2056.00,0.49
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2017-06,0.00,507.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2017-12,0.00,2254.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2018-06,0.00,7130.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2018-12,0.00,3451.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2019-06,2.00,2479.00,0.81
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2019-12,5.00,3307.00,1.51
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2020-03,0.00,3086.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2020-06,1.00,1717.00,0.58
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2020-09,0.00,1533.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2020-12,0.00,1456.00,0.00
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2021-03,1.00,476.00,2.10
Tasa de caída de pacientes en el servicio de urgencias,91,Amazonas,1000,Tasa,2021-06,0.00,372.00,0.00
